model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,10,5E+14,0.5641029042,0.5000000000,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+15,0.5641029042,0.5000000000,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,100,5E-03,0.4714713936,0.5002923977,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+00,0.4714713936,0.5000000000,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-01,0.4714713936,0.4991228070,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-05,0.6751078960,0.4986357740,"[[756.6, 269.0], [114.0, 39.2]]"
svm,linear,100,1E-04,0.4730950097,0.5142256839,"[[472.6, 553.0], [68.2, 85.0]]"
svm,linear,100,1E-02,0.4714713936,0.5016590120,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+00,0.4714713936,0.5000000000,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-02,0.4714713936,0.5076214539,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-05,0.3468570025,0.5132899729,"[[301.4, 724.2], [45.8, 107.4]]"
svm,linear,100,1E-03,0.5629061049,0.4958168718,"[[601.6, 424.0], [91.2, 62.0]]"
svm,linear,100,5E-04,0.5522967024,0.4967027227,"[[584.6, 441.0], [86.8, 66.4]]"
svm,linear,100,1E-01,0.4714713936,0.4996101365,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-06,0.5540757082,0.5100772010,"[[588.2, 437.4], [88.4, 64.8]]"
svm,linear,100,1E+01,0.4714713936,0.4972681025,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-06,0.5422072760,0.4992086882,"[[572.2, 453.4], [86.4, 66.8]]"
svm,linear,100,5E+02,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+03,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+04,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+01,0.4714713936,0.4934415442,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+03,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+02,0.4714713936,0.4992193220,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+05,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+04,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+05,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+07,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-07,0.5214900327,0.5020564671,"[[544.2, 481.4], [82.8, 70.4]]"
svm,linear,100,1E+06,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+07,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+06,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+08,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-07,0.5448971260,0.4917467136,"[[576.0, 449.6], [86.8, 66.4]]"
svm,linear,100,5E-08,0.3299836008,0.4976187746,"[[274.2, 751.4], [38.4, 114.8]]"
svm,linear,100,5E+08,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-09,0.1477830444,0.4884697167,"[[23.0, 1002.6], [2.0, 151.2]]"
svm,linear,100,5E+10,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+09,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+09,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-08,0.6622951047,0.5274660069,"[[741.8, 283.8], [114.2, 39.0]]"
svm,linear,100,1E+10,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-12,0.1347139261,0.4804831530,"[[5.6, 1020.0], [0.0, 153.2]]"
svm,linear,100,1E-14,0.1352228320,0.4605908720,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,100,5E+11,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-14,0.1352228320,0.4606085131,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,100,1E+15,0.4714713936,0.5000000000,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+11,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-11,0.1396362297,0.4909949547,"[[11.6, 1014.0], [0.2, 153.0]]"
svm,linear,100,1E+12,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-15,0.1352228320,0.4606303031,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,100,5E+13,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+12,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E+14,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-13,0.1347139261,0.4740853949,"[[5.6, 1020.0], [0.0, 153.2]]"
svm,linear,100,1E-15,0.1352228320,0.4857755012,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,100,5E-09,0.2878273487,0.4803327823,"[[215.6, 810.0], [29.6, 123.6]]"
svm,linear,100,1E+13,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E+14,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1E-13,0.1352228320,0.4681065068,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,100,5E-12,0.1392969589,0.4868999684,"[[11.2, 1014.4], [0.2, 153.0]]"
svm,linear,100,5E-10,0.4398034669,0.5357728681,"[[428.6, 597.0], [63.4, 89.8]]"
svm,linear,100,5E+15,0.4714713936,0.5001949318,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5E-11,0.1527062110,0.4833368857,"[[27.8, 997.8], [1.0, 152.2]]"
svm,linear,100,1E-10,0.1406538979,0.4769520766,"[[12.8, 1012.8], [0.2, 153.0]]"
svm,linear,1000,5E+00,0.5562803968,0.5034539872,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+02,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+04,0.5562803968,0.5036712151,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+07,0.5562803968,0.5022538190,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+02,0.5562803968,0.5034533502,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E-04,0.4824202178,0.4922212030,"[[488.6, 537.0], [73.2, 80.0]]"
svm,linear,1000,5E+01,0.5562803968,0.5034539872,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E-01,0.5562803968,0.5034539872,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E-04,0.6557712002,0.4918052211,"[[731.2, 294.4], [111.4, 41.8]]"
svm,linear,1000,1E+01,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+05,0.5562803968,0.5036298080,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E-01,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+00,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+04,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+03,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+06,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+03,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+06,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E-02,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+05,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E-03,0.6712085807,0.4996101365,"[[752.2, 273.4], [114.2, 39.0]]"
svm,linear,1000,1E-02,0.5350680661,0.5000000000,"[[558.0, 467.6], [80.6, 72.6]]"
svm,linear,1000,5E+07,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E-03,0.4318984215,0.5000000000,"[[417.8, 607.8], [62.0, 91.2]]"
svm,linear,1000,5E-05,0.3568692239,0.5023512063,"[[314.2, 711.4], [46.8, 106.4]]"
svm,linear,1000,1E+08,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E-05,0.5725583396,0.4959121660,"[[611.4, 414.2], [89.8, 63.4]]"
svm,linear,1000,5E-06,0.6614568577,0.4917824674,"[[739.4, 286.2], [112.8, 40.4]]"
svm,linear,1000,5E+09,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+09,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+13,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+08,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+11,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+10,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+10,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+15,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+14,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+15,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+12,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+11,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+13,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,5E+12,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E+14,0.5562803968,0.5000000000,"[[594.4, 431.2], [91.8, 61.4]]"
svm,linear,1000,1E-06,0.5072520517,0.5009740883,"[[518.0, 507.6], [73.4, 79.8]]"
svm,linear,1000,5E-07,0.4523741786,0.4753353509,"[[446.8, 578.8], [66.8, 86.4]]"
svm,linear,1000,1E-07,0.3340539902,0.5105619896,"[[280.4, 745.2], [39.8, 113.4]]"
svm,linear,1000,5E-08,0.4191040564,0.5114504009,"[[401.0, 624.6], [60.2, 93.0]]"
svm,linear,1000,1E-08,0.3268482310,0.4919351756,"[[274.0, 751.6], [42.0, 111.2]]"
svm,linear,1000,5E-09,0.5592431152,0.5153302925,"[[595.6, 430.0], [89.6, 63.6]]"
svm,linear,10000,1E-01,0.4648453843,0.4990253411,"[[461.6, 564.0], [66.8, 86.4]]"
svm,linear,1000,1E-09,0.4981450361,0.4992745081,"[[515.2, 510.4], [81.2, 72.0]]"
svm,linear,10000,5E-02,0.6348219578,0.5000000000,"[[702.6, 323.0], [107.4, 45.8]]"
svm,linear,1000,5E-10,0.4220794405,0.4920894019,"[[406.2, 619.4], [61.8, 91.4]]"
svm,linear,10000,5E-04,0.3632390449,0.5000000000,"[[317.8, 707.8], [42.8, 110.4]]"
svm,linear,1000,1E-10,0.2993880282,0.4810108647,"[[232.0, 793.6], [32.4, 120.8]]"
svm,linear,10000,1E-03,0.4657739302,0.5000000000,"[[462.0, 563.6], [66.2, 87.0]]"
svm,linear,10000,5E-03,0.5396482163,0.5000000000,"[[563.6, 462.0], [80.8, 72.4]]"
svm,linear,1000,5E-15,0.1352228320,0.4599002568,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,10000,1E-02,0.3050341627,0.5000000000,"[[232.2, 793.4], [25.8, 127.4]]"
svm,linear,10000,1E-04,0.5513385218,0.5075480659,"[[587.4, 438.2], [90.8, 62.4]]"
svm,linear,10000,5E-05,0.4762164229,0.4991219512,"[[476.4, 549.2], [68.2, 85.0]]"
svm,linear,10000,1E-05,0.4696618739,0.4977066850,"[[468.0, 557.6], [67.6, 85.6]]"
svm,linear,1000,1E-15,0.1352228320,0.4628734158,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,10000,5E-01,0.3114844749,0.5000000000,"[[241.8, 783.8], [27.8, 125.4]]"
svm,linear,1000,5E-12,0.1384474869,0.4793369291,"[[10.2, 1015.4], [0.2, 153.0]]"
svm,linear,1000,5E-13,0.1353926113,0.4835415179,"[[6.4, 1019.2], [0.0, 153.2]]"
svm,linear,1000,1E-14,0.1352228320,0.4605177714,"[[6.2, 1019.4], [0.0, 153.2]]"
svm,linear,1000,5E-11,0.1618686763,0.4694995376,"[[40.4, 985.2], [2.8, 150.4]]"
svm,linear,1000,1E-13,0.1350533407,0.4622673586,"[[6.0, 1019.6], [0.0, 153.2]]"
svm,linear,10000,1E+00,0.4021479102,0.4988304094,"[[371.8, 653.8], [51.0, 102.2]]"
svm,linear,1000,1E-12,0.1353926113,0.4956540724,"[[6.4, 1019.2], [0.0, 153.2]]"
svm,linear,10000,5E-06,0.4928678883,0.4955543278,"[[507.4, 518.2], [79.6, 73.6]]"
svm,linear,1000,1E-11,0.1404819585,0.4654949323,"[[12.6, 1013.0], [0.2, 153.0]]"
svm,linear,1000,5E-14,0.1353926113,0.4678943153,"[[6.4, 1019.2], [0.0, 153.2]]"
svm,linear,10000,5E+00,0.4024871808,0.4986354776,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E-06,0.6130217872,0.4919173387,"[[677.6, 348.0], [108.2, 45.0]]"
svm,linear,10000,1E+01,0.4024871808,0.5005842248,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E-07,0.6124286514,0.5009345259,"[[673.0, 352.6], [104.2, 49.0]]"
svm,linear,10000,5E+01,0.4024871808,0.5015594542,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+02,0.4024871808,0.4993177388,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+04,0.4024871808,0.5018856145,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+03,0.4024871808,0.4986354776,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+02,0.4024871808,0.5012046274,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+03,0.4024871808,0.4984405458,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+06,0.4024871808,0.5000000000,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+04,0.4024871808,0.5078877295,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+05,0.4024871808,0.5012670565,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+05,0.4024871808,0.5006822612,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+07,0.4024871808,0.5026755342,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+07,0.4024871808,0.5026755342,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+06,0.4024871808,0.5078635223,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+09,0.4024871808,0.5000000000,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+10,0.4024871808,0.4986354776,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+08,0.4024871808,0.5026755342,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+08,0.4024871808,0.5000000000,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+09,0.4024871808,0.5013645224,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+10,0.4024871808,0.5000000000,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+11,0.4024871808,0.5000000000,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+12,0.4024871808,0.5000000000,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+11,0.4024871808,0.4986354776,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+13,0.4050325740,0.5000000000,"[[375.2, 650.4], [51.0, 102.2]]"
svm,linear,10000,5E+12,0.4024871808,0.4958349603,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,1E+14,0.4050325740,0.4996097561,"[[375.2, 650.4], [51.0, 102.2]]"
svm,linear,10000,1E+13,0.4024871808,0.5002669164,"[[372.2, 653.4], [51.0, 102.2]]"
svm,linear,10000,5E+14,0.4050325740,0.5000000000,"[[375.2, 650.4], [51.0, 102.2]]"
svm,linear,10000,1E-07,0.6057973294,0.4976042080,"[[665.8, 359.8], [104.8, 48.4]]"
svm,linear,10000,1E+15,0.4050325740,0.5000000000,"[[375.2, 650.4], [51.0, 102.2]]"
svm,linear,10000,5E+15,0.3984224045,0.5000000000,"[[367.0, 658.6], [50.6, 102.6]]"
svm,linear,10000,5E-08,0.4410032860,0.5072537238,"[[430.4, 595.2], [63.8, 89.4]]"
svm,linear,10000,1E-08,0.6331974626,0.4776564764,"[[702.4, 323.2], [109.2, 44.0]]"
svm,linear,10000,5E-09,0.3893876435,0.5159629532,"[[360.2, 665.4], [54.4, 98.8]]"
