model,kernel,max_iter,C,log C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,100,5.00E+03,3.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+02,2.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+02,2.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E-05,-5.00E+00,0.347026638,0.497834789,"[[301.6, 724.0], [45.8, 107.4]]"
svm,linear,100,1.00E+04,4.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E-03,-3.00E+00,0.562906105,0.508741021,"[[601.6, 424.0], [91.2, 62.0]]"
svm,linear,100,5.00E+06,6.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+03,3.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+08,8.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+08,8.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+04,4.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+05,5.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+07,7.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+06,6.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+09,9.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+05,5.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+07,7.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E-02,-1.30E+00,0.471471394,0.498926639,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+10,1.00E+01,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+09,9.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E-06,-5.30E+00,0.554245488,0.496994231,"[[588.4, 437.2], [88.4, 64.8]]"
svm,linear,100,5.00E+10,1.07E+01,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E-07,-6.30E+00,0.649493256,0.487504656,"[[723.4, 302.2], [111.0, 42.2]]"
svm,linear,100,1.00E-06,-6.00E+00,0.542207276,0.49729717,"[[572.2, 453.4], [86.4, 66.8]]"
svm,linear,100,1.00E-07,-7.00E+00,0.544897126,0.504317959,"[[576.0, 449.6], [86.8, 66.4]]"
svm,linear,100,1.00E-08,-8.00E+00,0.662295105,0.531779769,"[[741.8, 283.8], [114.2, 39.0]]"
svm,linear,100,5.00E-08,-7.30E+00,0.329983601,0.504198579,"[[274.2, 751.4], [38.4, 114.8]]"
svm,linear,100,5.00E-10,-9.30E+00,0.439803467,0.530045951,"[[428.6, 597.0], [63.4, 89.8]]"
svm,linear,100,5.00E-09,-8.30E+00,0.287827349,0.491849015,"[[215.6, 810.0], [29.6, 123.6]]"
svm,linear,100,1.00E-09,-9.00E+00,0.147783044,0.490634351,"[[23.0, 1002.6], [2.0, 151.2]]"
svm,linear,100,1.00E-10,-1.00E+01,0.140653898,0.476952077,"[[12.8, 1012.8], [0.2, 153.0]]"
svm,linear,1000,1.00E+03,3.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E-04,-4.00E+00,0.558227167,0.498440546,"[[592.8, 432.8], [88.0, 65.2]]"
svm,linear,1000,1.00E+04,4.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E+02,2.70E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E-04,-3.30E+00,0.672655811,0.492299562,"[[754.2, 271.4], [114.4, 38.8]]"
svm,linear,1000,5.00E-05,-4.30E+00,0.519795121,0.500974659,"[[545.4, 480.2], [85.8, 67.4]]"
svm,linear,1000,1.00E+02,2.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,1.00E+00,0.00E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
svm,linear,1000,5.00E-02,-1.30E+00,0.646942536,0.5,"[[720.4, 305.2], [111.0, 42.2]]"
