mean_accuracy_score,mean_roc_auc_score,mean_precision_score,mean_recall_score,mean_f1_score,mean_cm_TN,mean_cm_FP,mean_cm_FN,mean_cm_TP,features_weights_sorted
features_basic_all
0.6223303913,0.5925825365,0.1698466108,0.4842458195,0.2503439944,659.4,366.2,79.0,74.2,"[['user_verified', -0.2633777049946894], ['num_urls', 0.1358924735261699], ['num_media', -0.11542263702703681], ['user_followers_count', -0.0967860973959814], ['num_mentions', 0.07670270986976092], ['user_friends_count', 0.059466572948388065], ['num_hashtags', -0.0432094211645949], ['Intercept', -0.03377649333645691], ['retweet_count', -0.018873712314458786], ['user_favourites_count', -0.015882016163929445]]"
features_extended_few_single
0.6038283478,0.6387163429,0.1776066189,0.5651642475,0.2701454008,625.2,400.4,66.6,86.6,"[['user_followers_count_per_day', -0.890341175363285], ['user_followers_count', 0.32612048920669257], ['user_listed_count_per_day', 0.28726871239616886], ['user_screen_name_has_caps_digits', 0.25384674758401726], ['user_verified', -0.22834000413437855], ['text_num_caps_digits', 0.20721211553843188], ['num_urls_is_nonzero', 0.10002257361458655], ['user_description_num_exclam', 0.07207807966205024], ['Intercept', -0.03498409614157033], ['user_description_num_caps', -0.030621869056788376], ['user_statuses_count_per_day', -0.01714648724944744], ['user_favourites_count_per_day', -0.010362953056914401], ['user_default_profile', 0.008370552792321798], ['user_name_has_weird_chars', 0.003039177692073726]]"
features_extended_few_multiple
0.6141755263,0.6392124605,0.1848053811,0.5769119769,0.2798324255,635.6,390.0,64.8,88.4,"[['user_followers_count_per_day', -0.8623287682522017], ['user_followers_count', 0.30079053102269576], ['user_listed_count_per_day', 0.28112225548752023], ['user_verified', -0.2372592191826893], ['user_screen_name_has_caps', 0.22301322440254054], ['text_num_digits', 0.18277827914196854], ['text_num_caps', 0.13741133353088925], ['num_urls_is_nonzero', 0.08380416674051179], ['user_screen_name_has_digits', 0.07415644874278234], ['Intercept', -0.06976695074966202], ['user_description_num_exclam', 0.06587151297064439], ['user_description_num_caps', -0.030512392975819657], ['user_statuses_count_per_day', -0.02314096714014332], ['user_favourites_count_per_day', -0.010642655649033788], ['user_default_profile', 0.0035990439657008198], ['user_name_has_weird_chars', -0.003340208944296245]]"
features_extended_some_multiple
0.6223226273,0.6568424611,0.1951627581,0.6083269672,0.2953857278,640.4,385.2,60.0,93.2,"[['user_listed_count', 0.4195872771049861], ['user_followers_count_per_day', -0.3277347509666207], ['user_verified', -0.30502967225024624], ['user_followers_count', -0.29423116747156647], ['text_num_swears', -0.2317979839228836], ['user_screen_name_has_caps', 0.23095981836109028], ['text_num_digits', 0.19312398187738067], ['created_at_hour_18_to_00', -0.18572821705035397], ['num_media', -0.18516192969071504], ['created_at_weekday_sun_mon_tue', 0.15758446192364217], ['text_num_caps', 0.14619680474728092], ['user_created_at_delta', 0.14261630368749525], ['created_at_hour', 0.10208036489804932], ['Intercept', -0.09551481169694967], ['user_description_num_exclam', 0.08695275890689368], ['user_screen_name_has_digits', 0.07730810377431574], ['user_statuses_count', -0.07125423892952991], ['user_listed_count_per_day', -0.06159954980853856], ['user_profile_use_background_image', 0.06005219870484868], ['user_friends_count', 0.04716753802452971], ['user_description_num_caps', -0.04227963975974808], ['created_at_weekday', -0.04188435286468886], ['num_urls_is_nonzero', 0.03819688362203912], ['user_statuses_count_per_day', 0.028178505441709478], ['user_default_profile', 0.019189899326833564], ['user_friends_count_per_day', -0.018223195317657943], ['user_name_has_weird_chars', 0.015450331615494773], ['user_favourites_count_per_day', -0.01089945505273109], ['created_at_hour_08_to_17', -0.0015622995285862]]"
features_extended_some_multiple_without_text_num_swears
0.6223221960,0.6519712688,0.1921102555,0.5926406926,0.2900299592,642.8,382.8,62.4,90.8,"[['user_listed_count', 0.43535058108275526], ['user_followers_count_per_day', -0.32403811760840406], ['user_verified', -0.29731054501394694], ['user_followers_count', -0.2913763341498531], ['user_screen_name_has_caps', 0.2302499396111138], ['text_num_digits', 0.19447277199343854], ['created_at_hour_18_to_00', -0.18520105743446375], ['num_media', -0.182521167225775], ['created_at_weekday_sun_mon_tue', 0.15560179422046921], ['text_num_caps', 0.1434427327764876], ['user_created_at_delta', 0.1387075788139775], ['created_at_hour', 0.10927493312116292], ['Intercept', -0.08789247243508237], ['user_description_num_exclam', 0.08155037229551595], ['user_screen_name_has_digits', 0.07816086859619781], ['user_listed_count_per_day', -0.0742025662138225], ['user_statuses_count', -0.07167965007729529], ['user_profile_use_background_image', 0.06161555114757544], ['created_at_weekday', -0.04369134160958206], ['num_urls_is_nonzero', 0.043120311782661194], ['user_friends_count', 0.041547687140810106], ['user_description_num_caps', -0.038910615058590246], ['user_statuses_count_per_day', 0.028066931143460226], ['user_default_profile', 0.02228128566925484], ['user_name_has_weird_chars', 0.016221788934235388], ['user_favourites_count_per_day', -0.008573139157942354], ['user_friends_count_per_day', -0.00821719672064441], ['created_at_hour_08_to_17', 0.0032326856594221466]]"
features_basic_few
