time,model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
17:52:25.894,svm,linear,10,5E+13,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.896,svm,linear,10,1E+12,0.5641029042,0.4951014237,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.897,svm,linear,10,1E+09,0.5641029042,0.4994006819,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.900,svm,linear,10,5E+11,0.5641029042,0.4967178384,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.904,svm,linear,10,1E+10,0.5641029042,0.4993487845,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.907,svm,linear,10,5E+10,0.5641029042,0.4986462706,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.151,svm,linear,10,5E+15,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.204,svm,linear,10,1E+15,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.211,svm,linear,10,1E+14,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.221,svm,linear,10,5E+14,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:27.462,svm,linear,100,5E-02,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.576,svm,linear,100,5E-04,0.4371890795,0.5046704994,"[[425.6, 600.0], [63.4, 89.8]]"
17:52:27.622,svm,linear,100,1E-04,0.4566264189,0.5223288827,"[[449.0, 576.6], [64.0, 89.2]]"
17:52:27.626,svm,linear,100,1E-01,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.675,svm,linear,100,1E-02,0.3477048833,0.4999025341,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.686,svm,linear,100,5E-01,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.701,svm,linear,100,5E-05,0.5589800307,0.5055376773,"[[593.2, 432.4], [87.4, 65.8]]"
17:52:27.811,svm,linear,100,5E+00,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.814,svm,linear,100,1E+00,0.3477048833,0.5000000000,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.841,svm,linear,100,5E-03,0.3477048833,0.5063868822,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:27.843,svm,linear,100,1E-05,0.2677441722,0.5018397482,"[[196.0, 829.6], [33.6, 119.6]]"
17:52:27.943,svm,linear,100,1E-03,0.4384624918,0.5167399832,"[[429.2, 596.4], [65.6, 87.6]]"
17:52:27.972,svm,linear,100,5E-06,0.5369425445,0.4903500040,"[[564.4, 461.2], [84.8, 68.4]]"
17:52:28.305,svm,linear,100,1E+02,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.340,svm,linear,100,5E+02,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.430,svm,linear,100,1E+03,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.432,svm,linear,100,1E+01,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.451,svm,linear,100,1E-06,0.4226079205,0.5230980831,"[[408.0, 617.6], [63.2, 90.0]]"
17:52:28.470,svm,linear,100,1E+06,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.475,svm,linear,100,5E+01,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.477,svm,linear,100,5E+03,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.482,svm,linear,100,5E+04,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.625,svm,linear,100,1E+04,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.654,svm,linear,100,5E+05,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.719,svm,linear,100,1E+05,0.3477048833,0.4917742707,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.770,svm,linear,100,5E-07,0.6275917276,0.5115105918,"[[692.4, 333.2], [105.8, 47.4]]"
17:52:28.854,svm,linear,100,1E+08,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:28.895,svm,linear,100,1E+07,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:29.060,svm,linear,100,5E+06,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:29.078,svm,linear,100,5E+07,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:29.659,svm,linear,100,5E-08,0.3299836008,0.4854753026,"[[274.2, 751.4], [38.4, 114.8]]"
17:52:30.152,svm,linear,100,5E+08,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.208,svm,linear,100,5E+11,0.3477048833,0.4850062171,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.317,svm,linear,100,1E+10,0.3477048833,0.4850208832,"[[299.4, 726.2], [42.8, 110.4]]"
17:52:30.399,svm,linear,100,1E-07,0.6487137759,0.5117018057,"[[720.4, 305.2], [108.8, 44.4]]"
17:52:30.412,svm,linear,100,5E+10,0.3477048833,0.4850164196,"[[299.4, 726.2], [42.8, 110.4]]"
